"Numéro","Nom","Rang","Bac","","Bulletins","L. Motiv.","Libre","Limite","Ent. FA","Remarque","","EVALN"
"1015903","#REF!","540/540","   ","","0","-0,5","","","","","",""
"1023907","#REF!","540/540","   ","","0","0","","","","","",""
"1029671","#REF!","184/540","   ","","-0,5","-1","","","","","",""
"1032929","#REF!","540/540","   ","","0","0","","","","","",""
"1046394","#REF!","540/540","   ","","0","-0.5","-5","","","","",""
"1080189","#REF!","540/540","   ","","0","0","-10","","","","",""
"1080806","#REF!","540/540","   ","","0","0","","","","","",""
"1084949","#REF!","540/540","   ","","0","0","","","","","",""
"1109981","#REF!","540/540","   ","","0","-0.5","-10","","","","",""
"1110517","#REF!","540/540","   ","","0","-0,5","-10","","","","",""
"1127007","#REF!","540/540","   ","","0","-0.5","-5","","","","",""
"1148076","#REF!","540/540","   ","","0","-0.5","","","x","","",""
"1155434","#REF!","369/540","   ","","0","-0,5","-5","","","","",""
"1165156","#REF!","540/540","   ","","0","0,5","-10","","x","","",""
"1192304","#REF!","540/540","   ","","0","0,5","","","x","","",""
"1001983","#REF!","1724/1724","   ","","1","0,5","","","","","",""
"1002323","#REF!","1724/1724","   ","","0","-0,5","-10","","","","",""
"1005777","#REF!","1724/1724","   ","","-0,5","0","","","","","",""
"1006088","#REF!","1724/1724","   ","","0","0","","","","","",""
"1008427","#REF!","1724/1724","   ","","-1","-0.5","","","","","",""
"1011615","#REF!","1724/1724","   ","","1","1","35","","x","","",""
"1012203","#REF!","1724/1724","   ","","0,5","0,5","","","","","",""
"1012878","#REF!","1162/1724","   ","","","","","","","","",""
"1016314","#REF!","1724/1724","   ","","0","-0,5","","","","","",""
"1022064","#REF!","1724/1724","   ","","0","-5","","","","","",""
"1034841","#REF!","1724/1724","   ","","1.5","-0,5","20","x","?","","",""
"1040638","#REF!","1724/1724","   ","","1","-0,5","","","","","",""
"1042188","#REF!","1724/1724","   ","","0","0","-10","","","","",""
"1048651","#REF!","816/1724","   ","","0","0","","","","","",""
"1049990","#REF!","1724/1724","   ","","1","0,5","","","x","","",""
"1052525","#REF!","1724/1724","   ","","0","-0,5","","","","","",""
"1053969","#REF!","1724/1724","   ","","0","-0,5","","","x","","",""
"1055327","#REF!","1724/1724","   ","","0","0,5","","","","","",""
"1056508","#REF!","1724/1724","   ","","0","-0,5","20","x","?","","",""
"1059098","#REF!","1724/1724","   ","","1","-5","","","","","",""
"1059505","#REF!","1724/1724","   ","","0","0,5","","x","?","","",""
"1063551","#REF!","1724/1724","   ","","1","-0,5","","","","","",""
"1065449","#REF!","1724/1724","   ","","0","0","","","","","",""
"1067334","#REF!","1724/1724","   ","","0","-5","","","","","",""
"1076077","#REF!","1724/1724","   ","","0","0,5","-10","","","","",""
"1081507","#REF!","1724/1724","   ","","0","0","-5","","","","",""
"1083054","#REF!","1724/1724","   ","","0","0","","","","","",""
"1085806","#REF!","747/1724","   ","","1","0","5","","x","","",""
"1086568","#REF!","1724/1724","   ","","2","-2","","","?","","",""
"1087583","#REF!","1724/1724","   ","","-1","1","","","","","",""
"1097006","#REF!","1724/1724","   ","","0","0","","","","","",""
"1120518","#REF!","1724/1724","   ","","0","0,5","-10","","","","",""
"1122209","#REF!","1121/1724","   ","","-1","-0,5","","","","","",""
"1122268","#REF!","1724/1724","   ","","0","0,5","","","","","",""
"1123732","#REF!","1724/1724","   ","","0","-0,5","","","","","",""
"1125187","#REF!","1724/1724","   ","","0","-0,5","","","","","",""
"1130422","#REF!","1724/1724","   ","","1","0,5","","","x","","",""
"1137788","#REF!","1724/1724","   ","","0","0","","","","","",""
"1143395","#REF!","1034/1724","   ","","0","-0,5","","","","","",""
"1154988","#REF!","1724/1724","   ","","1","0,5","","","?","","",""
"1158761","#REF!","1724/1724","   ","","0","-0,5","","","","","",""
"1167355","#REF!","1065/1724","   ","","-1","-0,5","","","","","",""
"1179070","#REF!","1724/1724","   ","","0","0,5","-5","","","","",""
"1107925","#REF!","955/1724","  Scientifique Mathématiques","","-1","0,5","","","","","",""
"1010978","#REF!","714/1724","  Scientifique Physique-chimie","","1","0","","","","","",""
"1181526","#REF!","606/1724","  Scientifique Physique-chimie","","1","0,5","","","","","",""
"1027873","#REF!","513/1724","  Scientifique Sciences de la vie et de la terre","","0","0.5","","","","","",""
"170646","#REF!","203/540","S Physique-chimie","","0.5","0.5","0","","x","","",""
